Ponto,Arquivo,Shape,Dtype,Min,Max
Point13,H3K9ac.tif,"(2048, 2048)",uint16,0,46
Point13,HLA-DR.tif,"(2048, 2048)",uint16,0,47
Point13,HLA_Class_1.tif,"(2048, 2048)",uint16,0,58
Point13,IDO.tif,"(2048, 2048)",uint16,0,23
Point13,Keratin17.tif,"(2048, 2048)",uint16,0,32
Point13,Keratin6.tif,"(2048, 2048)",uint16,0,45
Point13,Ki67.tif,"(2048, 2048)",uint16,0,18
Point13,Lag3.tif,"(2048, 2048)",uint16,0,14
Point13,MPO.tif,"(2048, 2048)",uint16,0,66
Point13,Na.tif,"(2048, 2048)",uint16,0,539
Point13,OX40.tif,"(2048, 2048)",uint16,0,11
Point13,P.tif,"(2048, 2048)",uint16,0,26
Point13,p53.tif,"(2048, 2048)",uint16,0,24
Point13,Pan-Keratin.tif,"(2048, 2048)",uint16,0,31
Point13,PD-L1.tif,"(2048, 2048)",uint16,0,8
Point13,PD1.tif,"(2048, 2048)",uint16,0,13
Point13,phospho-S6.tif,"(2048, 2048)",uint16,0,40
Point13,Segmentation.tif,"(2048, 2048)",uint16,0,1
Point13,SegmentationInterior.tif,"(2048, 2048)",uint8,0,1
Point13,Si.tif,"(2048, 2048)",uint16,0,514
Point13,SMA.tif,"(2048, 2048)",uint16,0,50
Point13,Ta.tif,"(2048, 2048)",uint16,0,404
Point13,Vimentin.tif,"(2048, 2048)",uint16,0,213
Point14,Au.tif,"(2048, 2048)",uint16,0,440
Point14,B7H3.tif,"(2048, 2048)",uint16,0,0
Point14,Background.tif,"(2048, 2048)",uint16,0,69
Point14,Beta catenin.tif,"(2048, 2048)",uint16,0,23
Point14,C.tif,"(2048, 2048)",uint16,0,0
Point14,Ca.tif,"(2048, 2048)",uint16,0,505
Point14,CD11b.tif,"(2048, 2048)",uint16,0,9
Point14,CD11c.tif,"(2048, 2048)",uint16,0,19
Point14,CD138.tif,"(2048, 2048)",uint16,0,12
Point14,CD16.tif,"(2048, 2048)",uint16,0,38
Point14,CD163.tif,"(2048, 2048)",uint16,0,14
Point14,CD20.tif,"(2048, 2048)",uint16,0,12
Point14,CD209.tif,"(2048, 2048)",uint16,0,10
Point14,CD3.tif,"(2048, 2048)",uint16,0,9
Point14,CD31.tif,"(2048, 2048)",uint16,0,6
Point14,CD4.tif,"(2048, 2048)",uint16,0,7
Point14,CD45.tif,"(2048, 2048)",uint16,0,33
Point14,CD45RO.tif,"(2048, 2048)",uint16,0,34
Point14,CD56.tif,"(2048, 2048)",uint16,0,8
Point14,CD63.tif,"(2048, 2048)",uint16,0,33
Point14,CD68.tif,"(2048, 2048)",uint16,0,23
Point14,CD8.tif,"(2048, 2048)",uint16,0,26
Point14,CSF-1R.tif,"(2048, 2048)",uint16,0,12
Point14,dsDNA.tif,"(2048, 2048)",uint16,0,142
Point14,EGFR.tif,"(2048, 2048)",uint16,0,10
Point14,Fe.tif,"(2048, 2048)",uint16,0,505
Point14,FoxP3.tif,"(2048, 2048)",uint16,0,7
Point14,H3K27me3.tif,"(2048, 2048)",uint16,0,161
Point14,H3K9ac.tif,"(2048, 2048)",uint16,0,47
Point14,HLA-DR.tif,"(2048, 2048)",uint16,0,56
Point14,HLA_Class_1.tif,"(2048, 2048)",uint16,0,44
